2011-02-16 12:04:46 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 29]
2011-02-16 12:04:46 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/playlist/pending.ctp, line 32]
2011-02-16 12:10:46 Notice: Notice (8): Undefined offset: 0 in [/users/fred/Sites/mofobox-radio/app/models/playlist.php, line 70]
2011-02-16 12:12:05 Notice: Notice (8): Undefined offset: 0 in [/users/fred/Sites/mofobox-radio/app/models/playlist.php, line 70]
2011-02-16 12:12:10 Notice: Notice (8): Undefined offset: 0 in [/users/fred/Sites/mofobox-radio/app/models/playlist.php, line 70]
2011-02-16 12:12:15 Notice: Notice (8): Undefined offset: 0 in [/users/fred/Sites/mofobox-radio/app/models/playlist.php, line 70]
2011-02-16 12:56:12 Notice: Notice (8): Undefined index: Artist in [/users/fred/Sites/mofobox-radio/app/views/tracks/view.ctp, line 8]
2011-02-16 13:13:30 Notice: Notice (8): Undefined index: Tracks in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 36]
2011-02-16 13:13:42 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 38]
2011-02-16 13:13:42 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 39]
2011-02-16 13:13:42 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 46]
2011-02-16 13:13:42 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 58]
2011-02-16 13:13:54 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 39]
2011-02-16 13:13:54 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 40]
2011-02-16 13:13:54 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 47]
2011-02-16 13:13:54 Notice: Notice (8): Undefined index: Track in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 59]
2011-02-16 13:17:35 Notice: Notice (8): Undefined index: Artist in [/users/fred/Sites/mofobox-radio/app/views/albums/view.ctp, line 9]
